Time(s) acc_x(g) acc_y(g) acc_z(g) gyr_x(°/s) gyr_y(°/s) gyr_z(°/s) mag_x(G) mag_y(G) mag_z(G) SVM(g) yaw(°) pitch(°) roll(°)
0.000;-0.16;0.11;0.92;-6.40;0.97;-9.18;111.87;107.92;-368.00;0.94;-26.14;-5.28;8.83 
0.030;-0.16;0.09;0.90;-5.70;-0.49;-8.63;108.90;105.06;-372.00;0.92;-25.97;-5.32;8.62 
0.061;-0.20;0.10;0.83;-7.23;0.77;-9.25;106.92;106.01;-372.00;0.86;-25.78;-5.37;8.41 
0.091;-0.19;0.17;0.85;-8.28;6.40;-8.07;102.96;107.92;-371.00;0.89;-25.61;-5.54;8.19 
0.121;-0.18;0.15;0.81;-8.21;9.74;-5.50;97.02;107.92;-366.00;0.84;-25.53;-5.83;7.99 
0.150;-0.18;0.16;0.85;-9.04;9.53;-3.13;99.00;110.79;-366.00;0.88;-25.50;-6.14;7.81 
0.180;-0.23;0.14;0.81;-11.69;7.79;-0.07;95.04;110.79;-368.00;0.85;-25.58;-6.43;7.57 
0.210;-0.25;0.08;0.79;-12.66;11.27;-1.04;94.05;113.65;-364.00;0.83;-25.69;-6.76;7.26 
0.240;-0.25;0.08;0.79;-13.98;16.21;-1.32;89.10;116.52;-360.00;0.83;-25.80;-7.24;6.89 
0.271;-0.27;0.09;0.77;-16.63;18.78;-1.67;82.17;122.25;-360.00;0.82;-25.95;-7.89;6.48 
0.301;-0.19;0.02;0.77;-18.50;17.67;-7.79;81.18;119.38;-358.00;0.79;-26.02;-8.57;5.95 
0.330;-0.23;0.00;0.75;-20.73;8.14;-12.80;76.23;123.20;-356.00;0.78;-25.91;-9.02;5.33 
0.360;-0.26;0.02;0.75;-20.94;2.71;-23.17;67.32;123.20;-352.00;0.79;-25.59;-9.30;4.59 
0.390;-0.20;0.03;0.70;-19.55;-4.03;-30.40;62.37;119.38;-348.00;0.73;-24.93;-9.41;3.87 
0.420;-0.21;0.10;0.62;-18.30;-11.06;-28.38;60.39;119.38;-347.00;0.66;-24.19;-9.31;3.26 
0.450;-0.24;0.12;0.47;-18.50;-8.42;-23.93;46.53;115.56;-351.00;0.54;-23.56;-9.12;2.71 
0.481;-0.13;0.18;0.46;-20.52;3.76;-27.20;39.60;112.70;-346.00;0.51;-22.92;-9.20;2.24 
0.511;-0.08;0.26;0.53;-20.31;10.23;-18.37;31.68;115.56;-349.00;0.60;-22.38;-9.42;1.83 
0.541;-0.08;0.16;0.58;-18.78;-1.04;-10.23;27.72;115.56;-343.00;0.61;-22.14;-9.57;1.47 
0.572;-0.14;0.04;0.63;-20.45;-15.44;-8.56;20.79;111.74;-342.00;0.65;-22.00;-9.32;1.04 
0.602;-0.18;-0.06;0.57;-30.19;-22.33;-22.68;13.86;109.83;-342.00;0.60;-21.68;-8.71;0.26 
0.631;-0.04;0.00;0.53;-41.04;-22.61;-35.48;7.92;100.28;-343.00;0.53;-21.02;-8.05;-0.99 
