Time(s);acc_x(g);acc_y(g);acc_z(g);gyr_x(°/s);gyr_y(°/s);gyr_z(°/s);mag_x(G);mag_y(G);mag_z(G);SVM(g);yaw(°);pitch(°);roll(°)
0.000;0.16;0.16;0.88;0.00;0.56;-0.35;407.28;-221.88;-371.00;0.91;-113.75;10.79;11.08 
0.029;0.18;0.16;0.88;-0.35;0.14;-0.07;408.28;-221.88;-373.00;0.91;-113.68;10.80;11.05 
0.058;0.18;0.18;0.86;-0.35;0.28;0.28;407.28;-222.84;-369.00;0.90;-113.63;10.82;11.01 
0.088;0.21;0.17;0.92;-0.21;-0.14;0.56;411.27;-223.79;-371.00;0.96;-113.57;10.84;11.00 
0.117;0.18;0.16;0.92;-0.14;0.14;0.83;406.29;-223.79;-372.00;0.95;-113.53;10.89;11.01 
0.146;0.18;0.16;0.86;0.07;0.49;0.90;407.28;-225.70;-374.00;0.89;-113.49;10.93;11.00 
0.177;0.18;0.16;0.85;0.28;-0.07;1.11;408.28;-229.53;-372.00;0.88;-113.46;10.97;10.99 
0.207;0.16;0.16;0.87;0.07;-0.21;0.97;406.29;-221.88;-373.00;0.90;-113.42;11.00;10.99 
0.237;0.17;0.18;0.88;-0.14;0.07;0.83;406.29;-222.84;-370.00;0.91;-113.39;11.04;10.96 
0.267;0.18;0.17;0.87;-0.28;0.42;-0.07;407.28;-223.79;-373.00;0.90;-113.34;11.04;10.98 
0.297;0.18;0.14;0.88;-0.07;1.04;-0.28;404.30;-225.70;-375.00;0.91;-113.29;11.04;10.98 
0.327;0.17;0.16;0.87;-0.14;0.49;-0.28;409.28;-221.88;-370.00;0.90;-113.23;11.04;10.98 
0.357;0.18;0.16;0.86;-0.35;0.70;-0.35;408.28;-224.75;-370.00;0.89;-113.16;11.07;10.99 
0.388;0.18;0.16;0.90;-0.14;0.56;-0.07;407.28;-224.75;-373.00;0.93;-113.09;11.08;10.98 
0.418;0.19;0.18;0.86;0.07;-0.56;0.42;406.29;-223.79;-373.00;0.90;-113.03;11.10;10.97 
0.448;0.15;0.17;0.89;0.21;0.63;0.28;407.28;-224.75;-370.00;0.92;-112.97;11.13;10.99 
0.478;0.16;0.17;0.84;-0.07;0.97;-0.21;406.29;-224.75;-375.00;0.87;-112.91;11.14;10.98 
0.508;0.17;0.17;0.90;-0.07;0.63;-0.21;407.28;-225.70;-374.00;0.93;-112.86;11.15;10.96 
0.538;0.18;0.16;0.88;-0.14;-0.07;-0.07;405.29;-220.92;-371.00;0.91;-112.80;11.17;10.96 
0.568;0.19;0.19;0.89;-0.07;-0.21;-0.56;404.30;-224.75;-373.00;0.93;-112.74;11.21;10.93 
0.599;0.18;0.13;0.88;-0.28;1.04;-0.42;407.28;-224.75;-376.00;0.91;-112.66;11.23;10.93 
0.629;0.16;0.18;0.87;-0.21;0.97;-0.63;409.28;-221.88;-373.00;0.90;-112.60;11.24;10.91 
0.659;0.17;0.16;0.86;-0.35;0.42;0.14;404.30;-224.75;-373.00;0.89;-112.53;11.25;10.90 
0.690;0.20;0.14;0.91;-0.28;0.07;-0.35;403.30;-222.84;-370.00;0.94;-112.46;11.30;10.87 
0.720;0.20;0.16;0.86;-0.21;1.25;-0.35;407.28;-224.75;-371.00;0.90;-112.39;11.34;10.86 
0.750;0.17;0.17;0.85;-0.14;1.18;-0.35;407.28;-226.66;-373.00;0.88;-112.34;11.32;10.85 
0.780;0.18;0.18;0.86;-0.14;0.14;-0.35;408.28;-223.79;-374.00;0.90;-112.28;11.31;10.84 
0.811;0.17;0.17;0.88;-0.14;0.83;-0.28;405.29;-220.92;-375.00;0.91;-112.21;11.33;10.83 
0.841;0.18;0.18;0.86;-0.07;1.39;-0.14;407.28;-224.75;-370.00;0.90;-112.15;11.31;10.82 
0.871;0.16;0.18;0.85;-0.21;0.70;-0.21;406.29;-220.92;-372.00;0.88;-112.09;11.31;10.81 
0.902;0.18;0.17;0.86;-0.49;0.56;-0.28;407.28;-223.79;-374.00;0.89;-112.03;11.32;10.79 
0.932;0.18;0.15;0.87;-0.14;0.56;-0.63;407.28;-222.84;-370.00;0.90;-111.95;11.33;10.77 
0.962;0.18;0.18;0.89;-0.21;1.25;0.21;410.27;-220.92;-375.00;0.93;-111.89;11.32;10.75 
0.992;0.17;0.16;0.90;-0.35;1.25;0.35;406.29;-220.92;-370.00;0.93;-111.84;11.32;10.72 
1.022;0.18;0.16;0.88;-0.35;1.32;1.11;407.28;-223.79;-373.00;0.91;-111.82;11.32;10.69 
1.052;0.18;0.18;0.86;-0.21;2.57;1.25;407.28;-222.84;-372.00;0.90;-111.81;11.32;10.66 
1.082;0.15;0.18;0.90;0.21;4.87;0.63;409.28;-219.97;-370.00;0.93;-111.80;11.25;10.64 
1.113;0.17;0.16;0.86;0.35;4.87;-0.35;404.30;-221.88;-371.00;0.89;-111.77;11.13;10.65 
1.143;0.17;0.17;0.87;-0.14;2.57;-0.90;407.28;-219.01;-375.00;0.90;-111.72;11.01;10.67 
1.173;0.16;0.12;0.84;-0.07;0.77;-0.83;406.29;-219.01;-371.00;0.86;-111.64;10.99;10.67 
1.203;0.19;0.12;0.90;0.42;-0.49;0.14;406.29;-219.97;-376.00;0.93;-111.57;11.01;10.65 
1.233;0.19;0.17;0.89;-0.07;2.09;0.70;406.29;-218.05;-371.00;0.93;-111.53;11.05;10.63 
1.263;0.17;0.14;0.86;-0.28;3.13;0.63;406.29;-217.10;-372.00;0.89;-111.51;11.01;10.60 
1.293;0.15;0.14;0.84;0.07;1.18;1.53;406.29;-219.97;-375.00;0.86;-111.51;10.95;10.57 
1.324;0.16;0.16;0.83;0.21;-1.67;2.16;408.28;-221.88;-374.00;0.86;-111.51;11.01;10.55 
1.354;0.19;0.17;0.91;-0.42;-2.02;1.95;407.28;-221.88;-375.00;0.95;-111.50;11.11;10.54 
1.384;0.19;0.17;0.94;0.35;1.81;-0.28;407.28;-220.92;-373.00;0.97;-111.46;11.19;10.52 
1.415;0.17;0.17;0.86;-0.21;7.37;-0.97;404.30;-219.97;-374.00;0.89;-111.42;11.08;10.53 
1.445;0.14;0.15;0.85;0.35;5.50;0.00;406.29;-219.97;-370.00;0.87;-111.39;10.90;10.50 
1.475;0.15;0.14;0.84;1.04;2.71;1.11;405.29;-217.10;-374.00;0.86;-111.37;10.77;10.51 
1.505;0.20;0.18;0.82;-1.39;-3.27;2.64;405.29;-219.01;-372.00;0.86;-111.36;10.79;10.51 
