Time(s) acc_x(g) acc_y(g) acc_z(g) gyr_x(°/s) gyr_y(°/s) gyr_z(°/s) mag_x(G) mag_y(G) mag_z(G) SVM(g) yaw(°) pitch(°) roll(°)
0.000;-0.54;0.38;0.74;-4.80;-4.31;-2.57;162.60;23.83;-180.00;0.99;-110.54;-24.87;15.77 
0.030;-0.52;0.40;0.67;-4.24;-6.47;-2.43;161.60;23.83;-185.00;0.94;-110.47;-24.71;15.74 
0.060;-0.46;0.32;0.67;-3.41;-3.34;-5.01;163.60;24.78;-185.00;0.87;-110.42;-24.62;15.71 
0.090;-0.53;0.36;0.65;-5.22;-0.07;-9.18;156.61;20.97;-190.00;0.91;-110.19;-24.64;15.57 
0.119;-0.51;0.31;0.69;-3.62;5.15;-8.00;153.62;20.97;-184.00;0.91;-109.99;-24.82;15.44 
0.148;-0.53;0.31;0.71;-4.59;0.00;-8.83;150.63;24.78;-187.00;0.94;-109.76;-25.00;15.28 
0.178;-0.49;0.29;0.70;-4.17;3.69;-9.04;151.62;23.83;-188.00;0.90;-109.52;-25.10;15.09 
0.208;-0.50;0.25;0.72;-4.66;7.30;-7.30;148.63;25.73;-186.00;0.91;-109.33;-25.30;14.90 
0.238;-0.52;0.25;0.73;-7.23;8.70;-12.17;143.64;24.78;-181.00;0.93;-109.06;-25.58;14.63 
0.268;-0.50;0.22;0.79;-5.84;9.67;-8.49;142.65;25.73;-187.00;0.96;-108.77;-25.92;14.30 
0.299;-0.49;0.26;0.78;-5.77;2.78;-4.38;139.65;26.69;-182.00;0.96;-108.58;-26.15;14.05 
0.329;-0.51;0.22;0.77;-8.07;-6.40;-1.53;137.66;25.73;-181.00;0.95;-108.50;-26.06;13.81 
0.359;-0.50;0.18;0.73;-7.72;-6.40;-0.63;137.66;26.69;-181.00;0.90;-108.42;-25.84;13.52 
0.390;-0.52;0.20;0.70;-6.47;-0.28;-1.60;134.67;27.64;-186.00;0.89;-108.34;-25.76;13.25 
0.419;-0.50;0.22;0.70;-6.75;2.78;-0.28;134.67;26.69;-181.00;0.89;-108.31;-25.80;13.04 
0.449;-0.51;0.21;0.70;-7.23;4.38;1.18;134.67;27.64;-187.00;0.89;-108.34;-25.90;12.86 
0.479;-0.51;0.16;0.70;-8.21;2.23;1.11;134.67;28.59;-184.00;0.88;-108.39;-26.01;12.67 
0.509;-0.53;0.23;0.70;-8.35;2.71;1.95;134.67;25.73;-182.00;0.91;-108.43;-26.05;12.44 
0.539;-0.53;0.22;0.73;-6.75;0.83;4.24;131.67;29.55;-180.00;0.93;-108.53;-26.06;12.28 
0.569;-0.51;0.18;0.70;-6.54;0.21;4.38;131.67;28.59;-183.00;0.88;-108.68;-26.04;12.18 
0.600;-0.53;0.18;0.73;-5.15;2.92;2.92;133.67;26.69;-184.00;0.92;-108.79;-26.08;12.07 
0.630;-0.54;0.19;0.74;-3.69;1.39;0.97;134.67;29.55;-182.00;0.94;-108.85;-26.16;11.94 
0.659;-0.56;0.18;0.73;-1.46;0.14;-0.70;131.67;28.59;-182.00;0.94;-108.83;-26.19;11.83 
0.689;-0.54;0.23;0.67;0.00;3.41;-1.18;133.67;28.59;-185.00;0.89;-108.80;-26.27;11.78 
0.719;-0.54;0.22;0.72;0.70;1.67;-0.35;130.68;29.55;-185.00;0.93;-108.80;-26.39;11.81 
0.749;-0.55;0.19;0.70;0.77;-0.14;-0.28;134.67;28.59;-182.00;0.91;-108.80;-26.42;11.83 
0.779;-0.54;0.19;0.73;0.77;-0.14;-1.04;133.67;26.69;-184.00;0.93;-108.77;-26.46;11.81 
0.810;-0.53;0.22;0.74;2.02;1.11;-0.83;131.67;29.55;-182.00;0.94;-108.74;-26.50;11.82 
0.840;-0.51;0.20;0.66;2.92;2.02;0.07;134.67;26.69;-182.00;0.86;-108.74;-26.59;11.88 
0.870;-0.54;0.20;0.67;2.99;4.80;-0.70;132.67;28.59;-180.00;0.88;-108.75;-26.69;11.95 
0.900;-0.56;0.21;0.74;3.48;3.76;-0.28;134.67;31.45;-180.00;0.95;-108.76;-26.87;12.02 
0.929;-0.53;0.20;0.72;3.06;-0.28;0.70;134.67;27.64;-181.00;0.92;-108.78;-26.90;12.11 
0.959;-0.55;0.20;0.71;4.59;5.91;1.25;132.67;29.55;-182.00;0.92;-108.83;-27.02;12.23 
0.989;-0.52;0.25;0.71;5.01;5.29;2.02;136.66;30.50;-178.00;0.91;-108.90;-27.20;12.39 
1.019;-0.54;0.22;0.70;3.97;3.83;3.41;133.67;32.40;-178.00;0.91;-109.03;-27.30;12.55 
1.049;-0.52;0.21;0.74;4.94;6.54;2.71;142.65;30.50;-181.00;0.93;-109.13;-27.43;12.69 
1.079;-0.55;0.23;0.72;5.08;1.04;4.03;140.65;30.50;-178.00;0.93;-109.24;-27.55;12.85 
1.110;-0.53;0.20;0.66;3.83;0.42;2.71;139.65;28.59;-177.00;0.87;-109.36;-27.54;13.02 
1.140;-0.56;0.21;0.68;4.94;8.35;1.81;140.65;31.45;-177.00;0.91;-109.44;-27.69;13.16 
1.170;-0.59;0.21;0.72;4.80;5.91;3.13;142.65;32.40;-178.00;0.95;-109.53;-27.93;13.34 
1.200;-0.54;0.24;0.70;4.38;0.49;6.61;143.64;30.50;-176.00;0.92;-109.70;-27.97;13.53 
1.229;-0.57;0.24;0.68;3.83;3.83;7.30;149.63;32.40;-176.00;0.92;-109.92;-27.99;13.74 
1.258;-0.58;0.26;0.76;2.16;2.50;8.56;149.63;31.45;-178.00;0.99;-110.16;-28.05;13.93 
1.288;-0.53;0.24;0.73;0.56;-3.69;9.25;150.63;33.36;-175.00;0.93;-110.44;-27.99;14.10 
1.318;-0.53;0.22;0.66;1.74;-7.17;10.50;153.62;27.64;-175.00;0.87;-110.74;-27.75;14.27 
1.348;-0.54;0.25;0.64;2.85;3.55;5.70;154.62;26.69;-178.00;0.87;-111.00;-27.63;14.46 
1.378;-0.55;0.26;0.71;4.94;10.37;4.80;153.62;25.73;-179.00;0.93;-111.19;-27.85;14.65 
1.409;-0.58;0.36;0.75;3.69;-0.83;7.23;160.60;29.55;-177.00;1.01;-111.41;-27.99;14.90 
1.439;-0.54;0.33;0.69;0.83;-5.91;8.21;158.61;25.73;-176.00;0.94;-111.69;-27.81;15.16 
1.469;-0.51;0.33;0.62;-0.49;0.49;7.17;162.60;27.64;-179.00;0.87;-111.95;-27.67;15.37 
1.499;-0.54;0.40;0.71;-0.90;7.72;8.56;163.60;26.69;-175.00;0.98;-112.24;-27.77;15.56 
1.529;-0.55;0.45;0.71;-1.53;2.30;13.70;166.59;28.59;-176.00;1.00;-112.65;-27.84;15.81 
