Time(s) acc_x(g) acc_y(g) acc_z(g) gyr_x(°/s) gyr_y(°/s) gyr_z(°/s) mag_x(G) mag_y(G) mag_z(G) SVM(g) yaw(°) pitch(°) roll(°)
0.000;-0.62;0.15;0.68;-0.07;-6.33;2.23;186.07;48.68;-154.00;0.93;-120.32;-41.59;14.24 
0.031;-0.63;0.13;0.64;2.43;-2.37;-0.35;187.07;47.73;-157.00;0.91;-120.26;-41.45;14.22 
0.061;-0.64;0.15;0.65;5.22;2.30;-4.87;184.08;51.55;-156.00;0.92;-120.03;-41.55;14.17 
0.091;-0.62;0.26;0.62;8.28;4.38;-5.01;183.09;49.64;-153.00;0.91;-119.78;-41.70;14.23 
0.122;-0.61;0.26;0.61;2.50;2.92;0.97;186.07;50.59;-155.00;0.90;-119.64;-41.85;14.38 
0.151;-0.57;0.26;0.58;-4.59;4.31;-1.04;186.07;53.46;-154.00;0.85;-119.59;-41.95;14.45 
0.181;-0.62;0.26;0.64;-4.52;12.03;-2.71;183.09;50.59;-154.00;0.93;-119.48;-42.19;14.37 
0.211;-0.63;0.26;0.66;-5.43;5.36;2.99;185.08;52.50;-152.00;0.95;-119.38;-42.49;14.29 
0.241;-0.57;0.28;0.51;-4.52;1.53;7.79;181.10;52.50;-151.00;0.81;-119.51;-42.52;14.38 
0.271;-0.47;0.27;0.41;-5.63;16.63;7.03;183.09;49.64;-148.00;0.68;-119.71;-42.67;14.56 
0.301;-0.47;0.23;0.43;-3.27;44.38;-5.63;181.10;53.46;-145.00;0.68;-119.64;-43.47;14.64 
0.332;-0.58;0.18;0.61;6.96;68.66;-21.98;178.11;56.32;-130.00;0.86;-118.91;-45.26;14.42 
0.362;-0.70;0.22;0.72;20.59;66.02;-31.72;176.12;63.96;-115.00;1.03;-117.56;-47.59;14.08 
0.392;-0.76;0.30;0.69;29.70;40.56;-34.99;171.15;68.73;-102.00;1.07;-116.14;-49.52;13.81 
0.422;-0.58;0.39;0.50;42.02;12.38;-33.32;163.19;70.64;-97.00;0.86;-114.92;-50.62;13.82 
0.452;-0.42;0.40;0.27;42.43;5.08;-24.56;157.22;69.68;-92.00;0.64;-114.02;-51.13;14.21 
0.482;-0.42;0.26;0.11;52.59;14.05;-14.33;154.23;71.59;-86.00;0.51;-113.43;-51.62;14.87 
0.512;-0.38;0.00;0.10;63.51;41.04;-14.26;149.26;77.32;-82.00;0.39;-112.82;-52.71;15.64 
