action,frame_number,input_number,x_inputs,y_inputs
band-stretching,1,1,148.99610109368905,601.0816573203308
band-stretching,1,2,139.96878498304898,609.2630789858769
band-stretching,1,3,139.66315344864717,587.4479452545619
band-stretching,1,4,149.98932048781734,626.794671349745
band-stretching,1,5,151.40965957747417,571.730444354996
band-stretching,1,6,198.82244189470055,643.5185352477313
band-stretching,1,7,198.2163739039068,558.2667584385749
band-stretching,1,8,150.49305972709072,705.8780152605997
band-stretching,1,9,143.3365202545293,505.99259077990826
band-stretching,1,10,83.26225238434981,745.4756287240498
band-stretching,1,11,73.64827958952206,471.98617213038517
band-stretching,1,12,380.1123128618513,640.3032136987096
band-stretching,1,13,374.25325126489224,567.0183621003794
band-stretching,1,14,533.4328933165573,632.8507296393199
band-stretching,1,15,533.3687062468509,570.2327635956406
band-stretching,1,16,662.6411798823723,628.9772275497353
band-stretching,1,17,657.9178220984344,560.9554246102898
band-stretching,2,1,150.66015076868743,596.6753678690354
band-stretching,2,2,141.93570246808903,612.1547759128306
band-stretching,2,3,141.26635571293295,589.2295421686702
band-stretching,2,4,151.13365713005754,627.7378255589505
band-stretching,2,5,152.70745815747983,572.779058356661
band-stretching,2,6,199.00588100396314,646.9495195899505
band-stretching,2,7,202.23074353518334,564.492139853508
band-stretching,2,8,158.0857324269542,705.5047297719677
band-stretching,2,9,158.7320325113368,509.4431907064183
band-stretching,2,10,84.17664039812868,746.9548764850458
band-stretching,2,11,79.08876075162637,472.48255233109506
band-stretching,2,12,380.93699863978793,639.8533850736119
band-stretching,2,13,374.21419913494304,569.5524298186232
band-stretching,2,14,535.6992858590431,632.8082270625976
band-stretching,2,15,531.930571991263,567.677776685085
band-stretching,2,16,658.1207848917926,631.6335885660617
band-stretching,2,17,664.2973678948645,567.4845687306365
band-stretching,3,1,151.3794086048904,604.9507540152651
band-stretching,3,2,140.97986882668758,616.8271886511393
band-stretching,3,3,142.18369887374476,593.9172020226507
band-stretching,3,4,152.1225180870617,632.7527322404371
band-stretching,3,5,152.10464101889264,579.4686996853045
band-stretching,3,6,200.41277479364868,650.9615519491608
band-stretching,3,7,201.73473405771878,561.1690399146098
band-stretching,3,8,152.87778528983318,713.067543571764
band-stretching,3,9,151.24199093462855,514.9290677144321
band-stretching,3,10,85.99694621050408,750.4260047239591
band-stretching,3,11,79.39896631174709,474.5254733393101
band-stretching,3,12,379.51817950329405,642.791926244755
band-stretching,3,13,381.90415169428854,572.6428799178804
band-stretching,3,14,529.6813560623402,637.0454295960187
band-stretching,3,15,529.1572922112707,574.1937670383855
band-stretching,3,16,659.7605019832616,639.0020163221159
band-stretching,3,17,658.3356144623353,570.5702413161409
band-stretching,4,1,152.1054509939334,609.5270132739315
band-stretching,4,2,142.45931407118968,620.57203377717
band-stretching,4,3,142.6556969482591,598.0099156161568
band-stretching,4,4,152.09837121209557,633.2960261300985
band-stretching,4,5,153.17564801601034,581.3944155643175
band-stretching,4,6,202.79147435160516,652.7376814283123
band-stretching,4,7,204.24496170551865,568.2614595530836
band-stretching,4,8,156.2312893331795,717.3247669228905
band-stretching,4,9,149.75597196412318,515.3804667679059
band-stretching,4,10,88.80363734188424,756.9625580524859
band-stretching,4,11,84.38001794061118,479.74428794795324
band-stretching,4,12,382.2199132736777,645.0490082287398
band-stretching,4,13,383.1013109945226,578.5136848348458
band-stretching,4,14,535.3064979627294,648.8924611052156
band-stretching,4,15,530.6833766138338,582.5198009291447
band-stretching,4,16,659.7563859196212,643.2386421245304
band-stretching,4,17,659.3461414183723,577.4523934119386
band-stretching,5,1,153.20465855062753,612.3710037934231
band-stretching,5,2,143.29713801570475,626.6883174708632
band-stretching,5,3,143.33844891533607,603.3669879564915
band-stretching,5,4,151.0324078690824,642.31567430459
band-stretching,5,5,150.06914612324326,587.011498146742
